"","Country","ISO2","ISO3","UN","2018_Per 100 inhabitants_Per 100 inhabitants_Fixed-broadband subscriptions","2017_Per 100 inhabitants_Per 100 inhabitants_Fixed-broadband subscriptions","2016_Per 100 inhabitants_Per 100 inhabitants_Fixed-broadband subscriptions","2015_Per 100 inhabitants_Per 100 inhabitants_Fixed-broadband subscriptions","2010_Per 100 inhabitants_Per 100 inhabitants_Fixed-broadband subscriptions","2012_Per 100 inhabitants_Per 100 inhabitants_Fixed-broadband subscriptions","2013_Per 100 inhabitants_Per 100 inhabitants_Fixed-broadband subscriptions","2014_Per 100 inhabitants_Per 100 inhabitants_Fixed-broadband subscriptions","2009_Per 100 inhabitants_Per 100 inhabitants_Fixed-broadband subscriptions","2008_Per 100 inhabitants_Per 100 inhabitants_Fixed-broadband subscriptions","2018_Per 100 inhabitants_Per 100 inhabitants_Fixed-telephone subscriptions","2017_Per 100 inhabitants_Per 100 inhabitants_Fixed-telephone subscriptions","2016_Per 100 inhabitants_Per 100 inhabitants_Fixed-telephone subscriptions","2015_Per 100 inhabitants_Per 100 inhabitants_Fixed-telephone subscriptions","2014_Per 100 inhabitants_Per 100 inhabitants_Fixed-telephone subscriptions","2013_Per 100 inhabitants_Per 100 inhabitants_Fixed-telephone subscriptions","2012_Per 100 inhabitants_Per 100 inhabitants_Fixed-telephone subscriptions","2010_Per 100 inhabitants_Per 100 inhabitants_Fixed-telephone subscriptions","2011_Per 100 inhabitants_Per 100 inhabitants_Fixed-telephone subscriptions","2009_Per 100 inhabitants_Per 100 inhabitants_Fixed-telephone subscriptions","2017_Percentage_%_Individuals using the Internet","2016_Percentage_%_Individuals using the Internet","2015_Percentage_%_Individuals using the Internet","2014_Percentage_%_Individuals using the Internet","2013_Percentage_%_Individuals using the Internet","2012_Percentage_%_Individuals using the Internet","2011_Percentage_%_Individuals using the Internet","2010_Percentage_%_Individuals using the Internet","2009_Percentage_%_Individuals using the Internet","2008_Percentage_%_Individuals using the Internet","2017_Per 100 inhabitants_Per 100 inhabitants_Mobile-cellular telephone subscriptions","2016_Per 100 inhabitants_Per 100 inhabitants_Mobile-cellular telephone subscriptions","2018_Per 100 inhabitants_Per 100 inhabitants_Mobile-cellular telephone subscriptions","2015_Per 100 inhabitants_Per 100 inhabitants_Mobile-cellular telephone subscriptions","2014_Per 100 inhabitants_Per 100 inhabitants_Mobile-cellular telephone subscriptions","2013_Per 100 inhabitants_Per 100 inhabitants_Mobile-cellular telephone subscriptions","2012_Per 100 inhabitants_Per 100 inhabitants_Mobile-cellular telephone subscriptions","2011_Per 100 inhabitants_Per 100 inhabitants_Mobile-cellular telephone subscriptions","2009_Per 100 inhabitants_Per 100 inhabitants_Mobile-cellular telephone subscriptions","2010_Per 100 inhabitants_Per 100 inhabitants_Mobile-cellular telephone subscriptions","2008_Per 100 inhabitants_Per 100 inhabitants_Mobile-cellular telephone subscriptions","2018_Per 100 inhabitants_Per 100 inhabitants_Active mobile-broadband subscriptions","2017_Per 100 inhabitants_Per 100 inhabitants_Active mobile-broadband subscriptions","2016_Per 100 inhabitants_Per 100 inhabitants_Active mobile-broadband subscriptions","2015_Per 100 inhabitants_Per 100 inhabitants_Active mobile-broadband subscriptions","2014_Per 100 inhabitants_Per 100 inhabitants_Active mobile-broadband subscriptions","2013_Per 100 inhabitants_Per 100 inhabitants_Active mobile-broadband subscriptions","2012_Per 100 inhabitants_Per 100 inhabitants_Active mobile-broadband subscriptions","2011_Per 100 inhabitants_Per 100 inhabitants_Active mobile-broadband subscriptions","2010_Per 100 inhabitants_Per 100 inhabitants_Active mobile-broadband subscriptions","2011_Per 100 inhabitants_Per 100 inhabitants_Fixed-broadband subscriptions","2008_Per 100 inhabitants_Per 100 inhabitants_Fixed-telephone subscriptions","2018_Per 100 inhabitants_Per 100 inhabitants_Individuals using the Internet","2017_Per 100 inhabitants_Per 100 inhabitants_Individuals using the Internet","2018_Percentage_%_Individuals using the Internet","2016_Per 100 inhabitants_Per 100 inhabitants_Individuals using the Internet","2015_Per 100 inhabitants_Per 100 inhabitants_Individuals using the Internet","2014_Per 100 inhabitants_Per 100 inhabitants_Individuals using the Internet","2013_Per 100 inhabitants_Per 100 inhabitants_Individuals using the Internet","2012_Per 100 inhabitants_Per 100 inhabitants_Individuals using the Internet","2011_Per 100 inhabitants_Per 100 inhabitants_Individuals using the Internet","2010_Per 100 inhabitants_Per 100 inhabitants_Individuals using the Internet","2009_Per 100 inhabitants_Per 100 inhabitants_Individuals using the Internet","2008_Per 100 inhabitants_Per 100 inhabitants_Individuals using the Internet","2009_Per 100 inhabitants_Per 100 inhabitants_Active mobile-broadband subscriptions","2008_Per 100 inhabitants_Per 100 inhabitants_Active mobile-broadband subscriptions"
"1","Afghanistan","AF","AFG","004",0.047054334372442,0.0463134991892934,0.0248735043395942,0.0205354841804853,0.00513953723675247,0.00481365136122359,0.00464833933893611,0.00449494848699135,0.0035217699796086,0.00180360371565452,0.343791756148411,0.327222366758666,0.322730963248147,0.319641044269616,0.30544972948501,0.296777873433715,0.288873636388842,0.0569460725832174,0.0448544501481585,0.0180666799953921,13.5,11.2,8.26,7,5.9,5.45454545454545,5,4,3.55,1.84,65.929134064576,61.0546377144842,59.1208482338053,57.2710680715414,55.1595146342637,52.0835762736241,49.2279769673842,45.8136261570673,36.9785847858903,35.0031267231369,28.4930032440338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Africa","17","107","907",0.418579995432804,0.375978275698431,0.386164827715696,0.371308520916096,0.160575175741914,0.231552931214863,0.320444672390813,0.381028763801715,0.112805128721149,0.0960375900226199,0.853889337276846,0.929801231073015,1.12302539091091,1.09641045509226,1.09375526086151,1.11536745658594,1.29358940252603,1.46163076448981,1.37722212079568,1.60776650146503,22.0768885021497,19.8016395613141,17.9794836197754,14.4945983157748,12.0882283725499,9.85047235041261,8.02776068172983,6.51840668317838,4.70086936303272,3.96031158615088,74.3766407395401,73.2443005463944,76.7153517897889,75.3065678426048,69.7278607792536,64.6837946401631,58.3907968178998,51.922326969902,38.0399146301718,44.2950140537341,32.2373874498535,30.6804605141622,24.7952828802215,21.7641597839891,19.0460197776869,13.1252323717871,10.4755990981822,5.88233013728623,2.70045412457768,1.73348861122297,0.192508089640081,1.52446601908509,26.3383272939231,24.8434890474807,24.4,22.2665521981496,20.3051911450695,18.1272208555255,16.0763190484678,14.1590351110264,12.1983049864195,9.94136531862141,7.59423403943447,5.43010935645914,NA,NA
"3","Albania","AL","ALB","008",12.5145174382705,10.5268449941734,9.22864097548605,8.40231474482211,3.57999242204013,5.49357330712509,6.28681826165115,7.18032113330606,3.09446736144186,2.13143067621636,8.58308414910814,8.55428374689555,8.61407728141051,7.84352120194581,8.13912899366607,9.68389587401293,10.7065793302623,11.2979444190225,11.5702016532177,12.209691871776,71.8470405043844,66.363444701023,63.252932696931,60.1,57.2,54.6559590399494,49,45,41.2,23.86,125.710351924593,116.744444190383,94.1769982724769,117.659218277171,115.997935300322,126.936968582439,120.105857871532,105.852914984402,82.8691968646319,91.3280527322887,61.9324483011498,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.37787168714522,11.4428187104978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Algeria","DZ","DZA","012",7.25538836320801,7.75629355772108,7.05171107319818,5.71220945415736,2.50156660608706,3.08889162030869,3.3560449304149,4.1098156875766,2.31505845621657,1.39646273972514,9.8476788421671,9.90834104045866,8.39603483895201,8.22490420804961,7.96118466871026,8.21399600258342,8.79887716354864,8.12378474241716,8.34483201630487,7.29092000960777,47.6910551485548,42.9455268800332,38.2,29.5,22.5,18.2,14.9,12.5,11.23,10.18,110.767246490382,116.004207697728,121.932482039105,108.808940288373,111.238610150342,103.610139482209,100.384679017529,97.1481784201359,92.6301415912959,91.1130734511377,77.831842160667,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6751591488006,8.83698897525779,NA,NA,59.5796847635727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","American Samoa","AS","ASM","016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.9172937719487,17.7447975479916,17.9491321594601,17.963964287639,18.545266499046,NA,18.347652735388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.0894733180269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Andorra","AD","AND","020",46.311975690206,44.5240970896482,42.032679146668,39.3457332940226,29.0139610889413,32.6410035546605,34.3353059152698,36.3197959930819,27.1610054106532,24.6500202713982,51.1323792951199,49.8837677432761,50.0588638627631,49.8006691364038,48.271117114615,47.752989823458,46.4896211192934,45.2000615756255,45.8535828149068,44.8504078709021,91.5674670273926,97.9306371220021,96.91,95.9,94,86.4344246167258,81,81,78.53,70.04,104.332411267386,98.4928263710105,107.282549411734,91.4435143761777,83.623900117405,79.1479931661178,77.480679874313,77.6672597227363,76.422812355706,77.555684495968,76.5567241420429,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.7628929991522,44.5672652691326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Angola","AO","AGO","024",0.355604535662645,0.32504866557292,0.426922239616699,0.550742008581794,0.0642226494788589,0.0816953017753633,0.0856480149490803,0.325702322775345,0.0666243794327698,0.0734802218732119,0.557803272057674,0.540199430079037,1.05570985915952,1.02180858882971,1.06680408892078,0.826229279835958,0.829797564761509,1.20362664445305,0.658466752827266,1.34660751546985,14.3390793643794,13,12.4,10.2,8.9,6.5,3.1,2.8,2.3,1.9,44.6861071385139,45.0762900524986,43.1305188834963,49.7932229515871,52.158983265359,51.0659203350459,50.9205995507953,49.8467733807925,36.0190094456048,40.2606009544513,31.219903506853,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0653037503807183,0.526815671761424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Anguilla","AI","AIA","660",NA,NA,NA,35.0164577351355,28.1961601428784,29.720913374411,30.815536763652,31.1791383219955,28.3074370191582,27.9644798285233,NA,NA,NA,42.0197492821626,41.8083900226757,42.9984233911423,43.4940195723088,46.7480279803542,45.8370044052863,47.2771157037261,NA,81.569999926091,75.979999963375,70.39,64.8,59.2149831732415,53.64,49.6,48,44,NA,NA,NA,182.085580222705,184.240362811791,186.326501361617,189.198985139543,191.035242290749,187.207723638558,191.211489805031,202.740564954451,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.9794419970631,47.8909898185715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Antigua and Barbuda","AG","ATG","028",NA,9.43139186385262,9.79720079977149,10.6876429472244,8.08719952742309,14.456525345928,17.0975567113947,11.6181586396145,18.4607935812602,5.83861259763224,NA,25.150378303607,23.8069546267204,21.3752858944488,21.5153086579806,36.2045981030639,36.6766582972934,41.2618712227927,39.7566468354005,43.056740368432,76,73,70,67.78,63.4,58,52,47,42,38,192.81956699432,190.421784252118,NA,188.10251587115,129.687128627298,124.959569911272,140.894158767379,197.201214525002,155.54031309801,190.81428636343,159.949412742836,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.72246311048368,44.4980502827968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Arab States","18","108","908",7.38159781295025,6.88833898015321,5.52332349001509,4.83572429281064,2.03932253907747,2.82253432539271,3.17850116415349,3.66079104017195,1.63300085756545,1.27640047928504,8.39055943656866,7.88897836041788,7.62920884746863,7.55707963338438,7.717912421665,8.6345031270603,9.32779755311675,9.81901218992739,9.57208872151139,9.94985677849144,48.6852644418736,42.6899446475061,39.9293582929559,36.4579583655274,32.9280383552986,29.9097935075804,26.582763949358,23.9811214168355,21.4068454221798,18.5189279497025,101.921483842152,102.180363586798,100.171810841136,104.679476896428,106.339882936701,106.743675403699,102.164823084764,96.3878359557635,76.4992101184373,87.5220717995213,63.2442931329814,60.1677846479216,54.8896247578349,46.9604149017707,43.5704541698218,34.3383246617488,25.893732636199,17.0441946780611,13.4174079652724,7.8411234860497,2.38626367528772,10.2878928539395,49.4657527657477,46.5440740731459,54.7,43.6412399227109,41.6922917726694,35.5143674724755,32.7505804363906,30.2657606727857,26.9955927269983,24.0262402066151,20.5759396954927,17.614582788701,NA,NA
